ts,co2,humidity,light_level,pir,temperature,co2_level,line_1_period_in,line_1_period_out,line_1_total_in,line_1_total_out,open_windows_all
2025-09-25 16:50:00,547.0,44.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 17:00:00,545.0,44.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 17:10:00,540.0,44.0,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 17:20:00,539.0,44.0,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 17:30:00,538.0,44.0,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 17:40:00,537.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 17:50:00,530.0,43.5,0.0,0,27.2,Medium,0,0,1,1,0
2025-09-25 18:00:00,519.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 18:10:00,517.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 18:20:00,515.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 18:30:00,512.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 18:40:00,508.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 18:50:00,501.0,43.5,0.0,0,27.1,Medium,0,0,1,1,0
2025-09-25 19:00:00,490.0,43.5,0.0,0,27.1,Low,0,0,1,1,1
2025-09-25 19:10:00,483.0,43.5,0.0,0,27.1,Low,1,1,2,2,0
2025-09-25 19:20:00,477.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 19:30:00,472.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 19:40:00,472.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 19:50:00,467.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 20:00:00,461.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 20:10:00,454.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 20:20:00,452.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 20:40:00,449.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 20:50:00,446.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 21:00:00,444.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 21:10:00,442.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 21:20:00,441.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 21:30:00,441.0,43.5,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 21:40:00,440.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 21:50:00,435.0,43.5,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 22:00:00,433.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 22:10:00,433.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 22:20:00,432.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 22:30:00,433.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 22:40:00,430.0,43.0,0.0,0,27.1,Low,0,0,2,2,0
2025-09-25 22:50:00,427.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 23:00:00,428.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 23:10:00,428.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
2025-09-25 23:20:00,427.0,43.0,0.0,0,27.0,Low,0,0,2,2,0
