ts,co2,temperature,humidity,light_level,pir,people_count_all,people_count_max,region_count,open_windows_all
2026-05-10 12:00:00,437.0,22.7,52.5,2.0,0,0,0,0,1
2026-05-10 12:10:00,438.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 12:20:00,438.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 12:30:00,438.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 12:40:00,438.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 12:50:00,438.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-10 13:00:00,437.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-10 13:10:00,437.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 13:20:00,437.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 13:30:00,437.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 13:40:00,436.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-10 13:50:00,436.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 14:00:00,436.0,22.6,53.0,1.0,0,0,0,0,1
2026-05-10 14:10:00,435.0,22.7,52.5,2.0,0,0,0,0,1
2026-05-10 14:20:00,435.0,22.7,52.5,2.0,0,0,0,0,1
2026-05-10 14:30:00,435.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 14:40:00,435.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 14:50:00,434.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 15:00:00,434.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 15:10:00,434.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 15:20:00,433.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 15:30:00,433.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 15:40:00,433.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 15:50:00,433.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 16:00:00,433.0,22.6,52.5,1.0,0,0,0,0,1
2026-05-10 16:10:00,433.0,22.7,52.5,1.0,0,0,0,0,1
2026-05-10 16:20:00,432.0,22.6,52.0,0.0,0,0,0,0,1
